Text,Handle,Time Created,Location
"RT @PrdNewEnglander: This year, @JanetMillsforME defeated @Moody4Gov to become the next Governor of Maine. Mills won by running up big marg…",ka_99k,2018-12-04 21:00:07,
"@RuPaulLePage @m_nwwn1 @JanetMillsforME @Moody4Gov It's probably actually an error in the code for the township that's reporting it. No one actually lives in that location - those votes are probably for some other tiny township, but based on how the results are reported by the SoS website, it's impossible to tell for sure.",PrdNewEnglander,2018-12-04 01:24:50,"New Hampshire, USA"
"@PrdNewEnglander @m_nwwn1 @JanetMillsforME @Moody4Gov What’s that little blue dot in the middle of a bunch of white in northwestern Aroostook County? That’s got to be, like, one family right?",RuPaulLePage,2018-12-04 00:20:10,Lost in the Maine wilderness
"RT @PrdNewEnglander: This year, @JanetMillsforME defeated @Moody4Gov to become the next Governor of Maine. Mills won by running up big marg…",cloudwanderer3,2018-12-03 20:13:41,Laurelindórenan
@PrdNewEnglander @JanetMillsforME @Moody4Gov I'm the Democrat living alone in the woods.,kenner116,2018-12-03 20:00:50,"Taipei City, Taiwan"
"RT @PrdNewEnglander: This year, @JanetMillsforME defeated @Moody4Gov to become the next Governor of Maine. Mills won by running up big marg…",cinyc9,2018-12-03 19:57:15,
@m_nwwn1 @JanetMillsforME @Moody4Gov No one lives in the white areas.,PrdNewEnglander,2018-12-03 19:44:05,"New Hampshire, USA"
"RT @PrdNewEnglander: This year, @JanetMillsforME defeated @Moody4Gov to become the next Governor of Maine. Mills won by running up big marg…",joncprevo,2018-12-03 19:41:22,"Michigan, USA"
"RT @PrdNewEnglander: This year, @JanetMillsforME defeated @Moody4Gov to become the next Governor of Maine. Mills won by running up big marg…",ActorAaronBooth,2018-12-03 19:39:34,Minneapolis
"RT @PrdNewEnglander: This year, @JanetMillsforME defeated @Moody4Gov to become the next Governor of Maine. Mills won by running up big marg…",SenhorRaposa,2018-12-03 19:38:40,"Apex, NC"
"This year, @JanetMillsforME defeated @Moody4Gov to become the next Governor of Maine. Mills won by running up big margins in the coastal towns, but her strength in her home county of Franklin is still visible. #mepolitics https://t.co/aCqrdVweiH",PrdNewEnglander,2018-12-03 19:36:03,"New Hampshire, USA"
@JustinDavis207 @SenatorBrakey @Moody4Gov @BrucePoliquin @GOP @JonMeserve @aaronh201 Put the brakes on immigration!,SurferSpartacus,2018-11-28 22:46:36,"Santa Monica, CA"
