Text,Handle,Time Created,Location
RT @SRE_mx: México y California mantienen un estrecho vínculo; 67% de la población hispana que vive en Los Ángeles es mexicana. Dada esta i…,ConsulMexStPaul,2018-12-07 22:19:21,"St Paul, MN"
RT @tonytruthtold: Hey @GavinNewsom we NEED ur help! Save LA from nuclear contamination by ensuring the #SSFL cleanup is done at 100%! http…,ibern4you,2018-12-07 22:18:40,"California, USA"
"SEND THEM TO CALIFORNIA,  SANTUARY STATE....FREE HEALTHCARE, FREE MONEY AND FREE EDUCATION!  @NancyPelosi @GavinNewsom https://t.co/wIHzeny7Sv",Cabrini24,2018-12-07 22:18:27,United States
"RT @kelleysher: @JerryBrownGov @GavinNewsom Don't bother talking w/ @ButteSheriff, @CountyofButte, @NVADG or their affiliates, @paradise_ca…",Rubiconski,2018-12-07 22:18:01,On Cr-#ISIS Standby :D
@GavinNewsom Poser.,GRUDGERODRIGUEZ,2018-12-07 22:17:39,"California, USA"
"RT @JoinTravisAllen: .@GavinNewsom has already destroyed San Francisco. Out of control homelessness, rising crime rates, rampant public dru…",SusanLenz2,2018-12-07 22:16:35,
"RT @PARENTSvsSSFL: ***NOW @GavinNewsom NUMBER GOES STRAIGHT TO VOICEMAIL, THAT'S OK, LEAVE A MESSAGE THAT WE WANT A FULL CLEANUP OF THE #SS…",socialista_jose,2018-12-07 22:16:25,
"RT @PARENTSvsSSFL: Shocked to learn than even after #WoolseyFire, @GavinNewsom is has a top @Boeing lobbyist  as his legislative secretary!…",socialista_jose,2018-12-07 22:16:13,
"RT @PARENTSvsSSFL: Shocked to learn than even after #WoolseyFire, @GavinNewsom is has a top @Boeing lobbyist  as his legislative secretary!…",LA_Crystal,2018-12-07 22:14:17,TN
"RT @Cali_Tracii: I keep reading California Democrats including @gavinnewsom wants to give illegals more benefits so they know ""their lives…",Hondo217,2018-12-07 22:13:59,Not in a sanctuary city
RT @mdweinberg: Honored to present our #Valley2Valley research to @GavinNewsom today with @AshleyCVCF Regions rise together! @BayAreaCounci…,joemmathews,2018-12-07 22:13:07,Los Angeles
RT @SupStefani: So great to get advice from Governor-elect @gavinnewsom on the District 2 Supervisor job - his first elected position and a…,TwinLily,2018-12-07 22:12:24, San Francisco
RT @rdviger: Another family in California that @GavinNewsom will not be thinking about over the holidays. His thoughts are only for the ill…,SCINTLE,2018-12-07 22:12:14,
"RT @Cali_Tracii: I keep reading California Democrats including @gavinnewsom wants to give illegals more benefits so they know ""their lives…",LeAnn4Trump,2018-12-07 22:10:41,"Kansas, USA"
RT mdweinberg: Honored to present our #Valley2Valley research to GavinNewsom today with AshleyCVCF Regions rise together! BayAreaCouncil BayAreaEconomy Lenny_Mendonca https://t.co/eoRimmoqJt,SanJoseVoice,2018-12-07 22:10:16,"Capitol of Silicon Valley - San Jose, CA"
RT @OurRevolutionVC: . @GavinNewsom It is UNTHINKABLE that while we demand Newsom direct a full cleanup of @Boeing 's #SSFL that he would a…,VIcStewartAdams,2018-12-07 22:09:43,
RT @OurRevolutionVC: . @GavinNewsom has appointed @Boeing lobbyist Anthony Williams to be his legislative secretary while very young childr…,VIcStewartAdams,2018-12-07 22:09:04,
